system_name,county,state,active,system_type,address,city,zipcode,system_no
WHITETHORN ELEMENTARY SCHOOL,HUMBOLDT,CA,1,ED,SCHOOL,WHITETHORN,95489,1200522
CASTERLIN SCHOOL,HUMBOLDT,CA,1,ED,24790 ALDERPOINT ROAD,BLOCKSBURG,95514,1200546
CUDDEBACK GRAMMAR SCHOOL,HUMBOLDT,CA,1,ED,P.O. BOX 7,CARLOTTA,95528,1200681
MAGNOLIA UNION SCHOOL,IMPERIAL,CA,1,ED,4502 Casey Rd,BRAWLEY,92227,1300553
MEADOWS UNION ELEMENTARY SCHOOL,IMPERIAL,CA,1,ED,2059 Bowker Rd,EL CENTRO,92243,1300554
MULBERRY UNION SCHOOL,IMPERIAL,CA,1,ED,1391 RUTHERFORD Rd,BRAWLEY,92227,1300556
PINE UNION SCHOOL,IMPERIAL,CA,1,ED,3295 Holt Rd,HOLTVILLE,92250,1300560
MCCABE UNION SCHOOL,IMPERIAL,CA,1,ED,701 W Mc Cabe Rd,EL CENTRO,92243,1300579
ROUND VALLEY SCHOOL,INYO,CA,1,ED,"300 N. Round Valley Rd, Bishop, Ca 93514",Bishop,93514,1400019
PALISADE GLACIER HIGH SCHOOL,INYO,CA,1,ED,"P.O. Box 998, Big Pine, CA 93513",Big Pine,93513,1400522